ioc151_species_id,common_name,scientific_name,clements_ebird2024_name,order_name,family_clements_ebird2024,genus_name,species_epithet,avg_mass,elevation_min_m,normalized_elevation_min_m,normalized_elevation_max_m,elevation_max_m,forest_habitat_rank,bushland_or_mosaic_habitat_rank,woodland_habitat_rank,shrubland_habitat_rank,savanna_habitat_rank,grassland_habitat_rank,plains_habitat_rank,rocky_habitat_rank,desert_habitat_rank,artificial_habitat_rank,riparian_habitat_rank,coastal_habitat_rank,wetland_habitat_rank,seabird_marine_habitat_rank,other_habitat_rank,other_habitat_description,primary_habitat,behavior_colonial,behavior_social,behavior_pairs_or_family,behavior_singly_and_pairs
1,Common Ostrich,Struthio camelus,Struthio camelus,Struthioniformes,Struthionidae,Struthio,camelus,114500,NA,0,3000,NA,NA,NA,3,NA,1,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,Savanna,0,0,1,1
6,Somali Ostrich,Struthio molybdophanes,Struthio molybdophanes,Struthioniformes,Struthionidae,Struthio,molybdophanes,107875,NA,0,3000,NA,NA,NA,3,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plains,0,1,0,0
8,Greater Rhea,Rhea americana,Rhea americana,Rheiformes,Rheidae,Rhea,americana,25250,NA,0,1200,NA,NA,NA,NA,2,1,NA,NA,NA,NA,4,3,NA,4,NA,NA,NA,Savanna,0,1,1,1
14,Lesser Rhea,Rhea pennata,Rhea pennata,Rheiformes,Rheidae,Rhea,pennata,21925,NA,0,4500,NA,NA,NA,NA,3,4,2,1,NA,NA,NA,NA,NA,5,NA,NA,NA,Plains,0,1,1,1
18,Southern Brown Kiwi,Apteryx australis,Apteryx australis,Apterygiformes,Apterygidae,Apteryx,australis,2602.5,NA,0,1500,NA,1,NA,NA,2,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,Forest,0,0,0,1
21,North Island Brown Kiwi,Apteryx mantelli,Apteryx mantelli,Apterygiformes,Apterygidae,Apteryx,mantelli,2602.5,NA,0,1000,NA,1,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0
23,Okarito Kiwi,Apteryx rowi,Apteryx rowi,Apterygiformes,Apterygidae,Apteryx,rowi,2336.25,NA,0,1000,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,1
24,Little Spotted Kiwi,Apteryx owenii,Apteryx owenii,Apterygiformes,Apterygidae,Apteryx,owenii,1296.5,NA,0,1000,NA,1,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,1
25,Great Spotted Kiwi,Apteryx haastii,Apteryx maxima,Apterygiformes,Apterygidae,Apteryx,haastii,2156.25,0,700,1100,1500,2,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grassland,0,0,0,1
26,Southern Cassowary,Casuarius casuarius,Casuarius casuarius,Casuariiformes,Casuariidae,Casuarius,casuarius,46700,NA,0,500,1200,1,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,Forest,0,0,1,1
27,Dwarf Cassowary,Casuarius bennetti,Casuarius bennetti,Casuariiformes,Casuariidae,Casuarius,bennetti,26300,NA,0,3300,3600,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,1,1
30,Northern Cassowary,Casuarius unappendiculatus,Casuarius unappendiculatus,Casuariiformes,Casuariidae,Casuarius,unappendiculatus,46993.25,NA,0,700,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,1,1
31,Common Emu,Dromaius novaehollandiae,Dromaius novaehollandiae,Casuariiformes,Casuariidae,Dromaius,novaehollandiae,42500,NA,0,1600,NA,NA,NA,2,3,1,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,Savanna,0,0,0,1
34,King Island Emu,Dromaius minor,NA,Casuariiformes,NA,Dromaius,minor,10003.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,3,NA,NA,NA,Grassland,0,0,0,1
36,Kangaroo Island Emu,Dromaius baudinianus,NA,Casuariiformes,NA,Dromaius,baudinianus,17257,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,Woodland,NA,NA,NA,NA
38,Grey Tinamou,Tinamus tao,Tinamus tao,Tinamiformes,Tinamidae,Tinamus,tao,1674.5,NA,50,1900,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,Forest,0,0,0,0
43,Solitary Tinamou,Tinamus solitarius,Tinamus solitarius,Tinamiformes,Tinamidae,Tinamus,solitarius,1428.5,NA,0,1200,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0
46,Black Tinamou,Tinamus osgoodi,Tinamus osgoodi,Tinamiformes,Tinamidae,Tinamus,osgoodi,1392.5,NA,600,2100,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,1
49,Great Tinamou,Tinamus major,Tinamus major,Tinamiformes,Tinamidae,Tinamus,major,1006.75,NA,0,1500,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0
62,White-throated Tinamou,Tinamus guttatus,Tinamus guttatus,Tinamiformes,Tinamidae,Tinamus,guttatus,688.75,NA,0,500,1100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,1
