ioc151_species_id,common_name,scientific_name,clements_ebird2024_name,order_name,family_clements_ebird2024,genus_name,species_epithet,avg_mass,elevation_min_m,normalized_elevation_min_m,normalized_elevation_max_m,elevation_max_m,forest_habitat_rank,bushland_or_mosaic_habitat_rank,woodland_habitat_rank,shrubland_habitat_rank,savanna_habitat_rank,grassland_habitat_rank,plains_habitat_rank,rocky_habitat_rank,desert_habitat_rank,artificial_habitat_rank,riparian_habitat_rank,coastal_habitat_rank,wetland_habitat_rank,seabird_marine_habitat_rank,other_habitat_rank,other_habitat_description,primary_habitat,behavior_colonial,behavior_social,behavior_pairs_or_family,behavior_singly_and_pairs,Beak_Length,Beak_Width,Beak_Depth,wing_length,Tail_Length,Tarsus.Length,Avonet_Mass,Avonet_HWI,BeakL_Div_Tarsus,Prop_Tail_Length,Prop_Leg_Length,Beak_Stoutness,Beak_CrossSect,HWI,Dimorphism,Colors,Final_Behavior_1,Final_Behavior_2,Final_Behavior_3
1,Common Ostrich,Struthio camelus,Struthio camelus,Struthioniformes,Struthionidae,Struthio,camelus,114500,NA,0,3000,NA,NA,NA,3,NA,1,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,Savanna,0,0,1,1,90.5,47.3,23.4,579,309.2,481.2,111000,0.1,0.18807148794679968,0.5340241796200346,0.8310880829015543,3.867521367521367,0.49471458773784355,0.1,NA,0,Movement: Ground-walking/running,Foraging: Gleaning,NA
6,Somali Ostrich,Struthio molybdophanes,Struthio molybdophanes,Struthioniformes,Struthionidae,Struthio,molybdophanes,107875,NA,0,3000,NA,NA,NA,3,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plains,0,1,0,0,89.2,46.7,23.6,510.5,291.7,466.7,111000,0.1,0.1911292050567817,0.5714005876591577,0.914201762977473,3.779661016949152,0.5053533190578159,0.1,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,NA
8,Greater Rhea,Rhea americana,Rhea americana,Rheiformes,Rheidae,Rhea,americana,25250,NA,0,1200,NA,NA,NA,NA,2,1,NA,NA,NA,NA,4,3,NA,4,NA,NA,NA,Savanna,0,1,1,1,86.5,27.2,17.2,604.5,62,308,23000,0.1,0.28084415584415584,0.10256410256410256,0.5095119933829612,5.029069767441861,0.6323529411764706,0.1,0,1,Movement: Ground-walking/running,Foraging: Gleaning,NA
14,Lesser Rhea,Rhea pennata,Rhea pennata,Rheiformes,Rheidae,Rhea,pennata,21925,NA,0,4500,NA,NA,NA,NA,3,4,2,1,NA,NA,NA,NA,NA,5,NA,NA,NA,Plains,0,1,1,1,69.8,24.8,16,625,58.4,293.2,23900,0.1,0.23806275579809005,0.09344,0.46912,4.3625,0.6451612903225806,0.1,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,NA
18,Southern Brown Kiwi,Apteryx australis,Apteryx australis,Apterygiformes,Apterygidae,Apteryx,australis,2602.5,NA,0,1500,NA,1,NA,NA,2,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,Forest,0,0,0,1,126.4,4.7,5.8,0.1,0.1,67,2320.5,0.1,1.8865671641791049,1,670,21.793103448275865,1.2340425531914894,0.1,NA,0,Movement: Ground-walking/running,Foraging: Probing,NA
21,North Island Brown Kiwi,Apteryx mantelli,Apteryx mantelli,Apterygiformes,Apterygidae,Apteryx,mantelli,2602.5,NA,0,1000,NA,1,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0,140.6,4.3,4.5,0.1,0.1,64,2320.5,0.1,2.196875,1,640,31.244444444444444,1.0465116279069768,0.1,NA,-1,Movement: Ground-walking/running,Foraging: Probing,NA
23,Okarito Kiwi,Apteryx rowi,Apteryx rowi,Apterygiformes,Apterygidae,Apteryx,rowi,2336.25,NA,0,1000,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,1,157,4.7,5.3,0.1,0.1,84,1924,0.1,1.869047619047619,1,840,29.622641509433965,1.127659574468085,0.1,NA,-1,Movement: Ground-walking/running,Foraging: Probing,NA
24,Little Spotted Kiwi,Apteryx owenii,Apteryx owenii,Apterygiformes,Apterygidae,Apteryx,owenii,1296.5,NA,0,1000,NA,1,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,1,85.3,3.3,3.6,0.1,0.1,59.6,1238.3,0.1,1.431208053691275,1,596,23.694444444444443,1.090909090909091,0.1,NA,0,Movement: Ground-walking/running,Foraging: Probing,NA
25,Great Spotted Kiwi,Apteryx haastii,Apteryx maxima,Apterygiformes,Apterygidae,Apteryx,haastii,2156.25,0,700,1100,1500,2,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grassland,0,0,0,1,139.1,4.9,5.6,0.1,0.1,74.9,2022.7,0.1,1.857142857142857,1,749,24.839285714285715,1.1428571428571428,0.1,NA,0,Movement: Ground-walking/running,Foraging: Probing,NA
26,Southern Cassowary,Casuarius casuarius,Casuarius casuarius,Casuariiformes,Casuariidae,Casuarius,casuarius,46700,NA,0,500,1200,1,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,Forest,0,0,1,1,104.8,14.3,20.6,300.8,402.5,287.2,44000,0.1,0.3649025069637883,1.338098404255319,0.9547872340425532,5.0873786407766985,1.4405594405594406,0.1,NA,-1,Movement: Ground-walking/running,Foraging: Gleaning,NA
