ioc151_species_id,common_name,scientific_name,clements_ebird2024_name,order_name,family_clements_ebird2024,genus_name,species_epithet,avg_mass,elevation_min_m,normalized_elevation_min_m,normalized_elevation_max_m,elevation_max_m,forest_habitat_rank,bushland_or_mosaic_habitat_rank,woodland_habitat_rank,shrubland_habitat_rank,savanna_habitat_rank,grassland_habitat_rank,plains_habitat_rank,rocky_habitat_rank,desert_habitat_rank,artificial_habitat_rank,riparian_habitat_rank,coastal_habitat_rank,wetland_habitat_rank,seabird_marine_habitat_rank,other_habitat_rank,other_habitat_description,primary_habitat,behavior_colonial,behavior_social,behavior_pairs_or_family,behavior_singly_and_pairs,Beak_Length,wing_length,Tarsus.Length,Avonet_Mass,BeakL_Div_Tarsus,Mass_Diff_Pct,Dimorphism,Colors
1,Common Ostrich,Struthio camelus,Struthio camelus,Struthioniformes,Struthionidae,Struthio,camelus,114500,NA,0,3000,NA,NA,NA,3,NA,1,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,Savanna,0,0,1,1,90.5,579,481.2,111000,0.18807148794679968,3.056768558951965,NA,0
6,Somali Ostrich,Struthio molybdophanes,Struthio molybdophanes,Struthioniformes,Struthionidae,Struthio,molybdophanes,107875,NA,0,3000,NA,NA,NA,3,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plains,0,1,0,0,89.2,510.5,466.7,111000,0.19112920505678166,2.815315315315315,NA,-1
8,Greater Rhea,Rhea americana,Rhea americana,Rheiformes,Rheidae,Rhea,americana,25250,NA,0,1200,NA,NA,NA,NA,2,1,NA,NA,NA,NA,4,3,NA,4,NA,NA,NA,Savanna,0,1,1,1,86.5,604.5,308,23000,0.28084415584415584,8.91089108910891,0,1
14,Lesser Rhea,Rhea pennata,Rhea pennata,Rheiformes,Rheidae,Rhea,pennata,21925,NA,0,4500,NA,NA,NA,NA,3,4,2,1,NA,NA,NA,NA,NA,5,NA,NA,NA,Plains,0,1,1,1,69.8,625,293.2,23900,0.23806275579809005,8.263598326359832,NA,-1
18,Southern Brown Kiwi,Apteryx australis,Apteryx australis,Apterygiformes,Apterygidae,Apteryx,australis,2602.5,NA,0,1500,NA,1,NA,NA,2,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,Forest,0,0,0,1,126.4,0.1,67,2320.5,1.8865671641791046,10.835734870317003,NA,0
21,North Island Brown Kiwi,Apteryx mantelli,Apteryx mantelli,Apterygiformes,Apterygidae,Apteryx,mantelli,2602.5,NA,0,1000,NA,1,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,Forest,0,0,0,0,140.6,0.1,64,2320.5,2.196875,10.835734870317003,NA,-1
23,Okarito Kiwi,Apteryx rowi,Apteryx rowi,Apterygiformes,Apterygidae,Apteryx,rowi,2336.25,NA,0,1000,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,1,157,0.1,84,1924,1.869047619047619,17.645799892990905,NA,-1
24,Little Spotted Kiwi,Apteryx owenii,Apteryx owenii,Apterygiformes,Apterygidae,Apteryx,owenii,1296.5,NA,0,1000,NA,1,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,0,0,0,1,85.3,0.1,59.6,1238.3,1.431208053691275,4.489008870034712,NA,0
25,Great Spotted Kiwi,Apteryx haastii,Apteryx maxima,Apterygiformes,Apterygidae,Apteryx,haastii,2156.25,0,700,1100,1500,2,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grassland,0,0,0,1,139.1,0.1,74.9,2022.7,1.857142857142857,6.1936231884057955,NA,0
26,Southern Cassowary,Casuarius casuarius,Casuarius casuarius,Casuariiformes,Casuariidae,Casuarius,casuarius,46700,NA,0,500,1200,1,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,Forest,0,0,1,1,104.8,300.8,287.2,44000,0.3649025069637883,5.781584582441114,NA,-1
