"Common_name","Scientific_name","Family_description","Family","Order","Sex","all_color"
"Abbott's Starling","Cinnyricinclus_femoralis","Starlings","Sturnidae","Passeriformes","M","brownish gray, dark gray, gray, medium cream, medium yellow-buff"
"Abert's Towhee","Pipilo_aberti","Buntings, American sparrows and allies","Emberizidae","Passeriformes","F","brownish gray, dark yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff"
"Abert's Towhee","Pipilo_aberti","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","brownish gray, medium-dark rufous, medium-dark yellow-buff"
"Abyssinian Citril","Serinus_citrinelloides","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","F","very pale cream, very pale orange-buff"
"Abyssinian Citril","Serinus_citrinelloides","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","M","very pale cream, very pale orange-buff"
"Abyssinian Crimson-wing","Cryptospiza_salvadorii","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","F","dark maroon, medium pinkish buff, medium red-brown, medium tan, medium-dark brown, medium-dark orange-buff, medium-dark rufous, pale buff, pale orange-buff, very pale buff, very pale cream, very pale orange-buff"
"Abyssinian Crimson-wing","Cryptospiza_salvadorii","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","M","black, dark rufous, dark yellow-buff, medium buff, medium orange-buff, medium red-brown, medium tan, medium-dark red-brown, medium-dark rufous, pale buff, pale orange-buff, very pale buff, very pale cream"
"Acadian Flycatcher","Empidonax_virescens","Tyrant-flycatchers","Tyrannidae","Passeriformes","F","brownish gray, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, olive-gray, pale gray"
"Acorn Woodpecker","Melanerpes_formicivorus","Woodpeckers","Picidae","Piciformes","F","black, brownish gray, dark brown, dark gray, gray, medium cream, medium green, medium yellow-buff, medium-dark green, olive-gray"
"Adelaide's Warbler","Dendroica_adelaidae","New World warblers","Parulidae","Passeriformes","M","black, brownish gray, dark gray, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale cream, pale gray, very dark yellow-buff"
"Adelie Penguin","Pygoscelis_adeliae","Penguins","Spheniscidae","Sphenisciformes","M","brownish gray, dark gray, gray, pale cream"
"African Firefinch","Lagonosticta_rubricata","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","F","medium buff, medium orange-buff, medium pinkish buff, medium red-brown, medium tan, medium-dark brown, pale buff, pale pinkish buff, very pale buff, very pale orange-buff"
"African Firefinch","Lagonosticta_rubricata","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","M","medium buff, medium pinkish buff, medium red-brown, medium tan, medium-dark brown, medium-dark red-brown, pale buff, pale orange-buff, pale pinkish buff, very pale buff, very pale orange-buff"
"African Olive-pigeon","Columba_arquatrix","Doves and pigeons","Columbidae","Columbiformes","M","brownish gray, dark gray, gray, pale gray"
"African Paradise-flycatcher","Terpsiphone_viridis","Monarchs","Monarchidae","Passeriformes","M","blue, brownish gray, dark blue, dark gray, dark rufous, gray, medium-dark orange-buff, medium-dark rufous, pale gray"
"African Pied Starling","Spreo_bicolor","Starlings","Sturnidae","Passeriformes","M","brownish gray, gray, medium cream, medium green, medium yellow-buff, medium-dark brown, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, olive-gray, pale cream"
"African Pygmy-goose","Nettapus_auritus","Ducks, geese and swans","Anatidae","Anseriformes","M","black, dark gray, dark olive, gray, medium green, medium orange-buff, medium-dark olive, medium-dark orange-buff, olive-gray, pale gray"
"African Pygmy-kingfisher","Ceyx_pictus","Kingfishers","Alcedinidae","Coraciiformes","M","dark purple, gray, medium cream, medium tan, medium yellow-buff, medium-dark dark purple"
"African River-martin","Pseudochelidon_eurystomina","Swallows and martins","Hirundinidae","Passeriformes","F","black, dark gray, gray"
"African River-martin","Pseudochelidon_eurystomina","Swallows and martins","Hirundinidae","Passeriformes","M","black, dark gray, gray"
"African Silverbill","Lonchura_cantans","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","F","medium buff, medium pinkish buff, medium red-brown, medium tan, medium-dark maroon, pale buff, pale orange-buff, pale pinkish buff, very pale buff, very pale cream, very pale orange-buff"
