"Common_name","Scientific_name","Family_description","Family","Order","Sex","all_color","Pro_Crown","Pro_Forehead","Pro_Nape","Pro_Supercilium","Pro_Lores","Pro_Auriculars","Pro_Malar","Pro_Eye","Pro_Beak","Pro_Mantle","Pro_Back","Pro_Scapulars","Pro_Rump","Pro_Collar","Pro_Chin_Throat","Pro_Breast","Pro_Belly","Pro_Flanks","Pro_Crissum","Pro_Wing_Coverts","Pro_Primaries","Pro_Secondaries","Pro_Tertials","Pro_Alula","Pro_WingBar","Pro_Wing_Other","Pro_Tail_Dorsal","Pro_Tail_Ventral","Pro_Tail_Outer","Pro_Tail_Other","Pro_Legs"
"Abbott's Starling","Cinnyricinclus_femoralis","Starlings","Sturnidae","Passeriformes","M","brownish gray, dark gray, gray, medium cream, medium yellow-buff","brownish gray, dark gray, gray",NA,"brownish gray, gray",NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray",NA,"brownish gray, gray",NA,"brownish gray, gray, dark gray","brownish gray, dark gray, gray","medium cream, medium yellow-buff, gray",NA,NA,NA,NA,NA,NA,NA,NA,"brownish gray, gray, dark gray",NA,NA,NA,"gray, brownish gray",NA
"Abert's Towhee","Pipilo_aberti","Buntings, American sparrows and allies","Emberizidae","Passeriformes","F","brownish gray, dark yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff","medium-dark rufous, medium-dark yellow-buff, dark yellow-buff, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium-dark yellow-buff",NA,NA,NA,NA,"medium-dark yellow-buff",NA,NA,"medium-dark rufous, medium-dark yellow-buff, medium-dark orange-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abert's Towhee","Pipilo_aberti","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","brownish gray, medium-dark rufous, medium-dark yellow-buff","medium-dark yellow-buff, brownish gray, medium-dark rufous",NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium-dark yellow-buff, brownish gray",NA,NA,NA,NA,"medium-dark yellow-buff",NA,NA,"medium-dark yellow-buff, medium-dark rufous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abyssinian Citril","Serinus_citrinelloides","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","F","very pale cream, very pale orange-buff","very pale cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very pale cream",NA,NA,"very pale cream",NA,NA,NA,NA,NA,NA,NA,NA,"very pale cream","very pale orange-buff, very pale cream",NA,NA,NA,NA,NA
"Abyssinian Citril","Serinus_citrinelloides","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","M","very pale cream, very pale orange-buff","very pale cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very pale cream",NA,NA,"very pale cream",NA,NA,NA,NA,NA,NA,NA,NA,"very pale cream","very pale orange-buff",NA,NA,NA,NA,NA
"Abyssinian Crimson-wing","Cryptospiza_salvadorii","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","F","dark maroon, medium pinkish buff, medium red-brown, medium tan, medium-dark brown, medium-dark orange-buff, medium-dark rufous, pale buff, pale orange-buff, very pale buff, very pale cream, very pale orange-buff","medium red-brown, medium tan, very pale orange-buff, pale orange-buff, medium-dark orange-buff","very pale orange-buff, very pale buff, very pale cream",NA,NA,NA,NA,NA,NA,NA,NA,"pale buff, very pale buff, medium pinkish buff",NA,NA,NA,"very pale cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium-dark rufous, medium-dark brown, medium tan, medium-dark orange-buff, pale orange-buff",NA,NA,NA,"medium red-brown, very pale orange-buff, dark maroon",NA
"Abyssinian Crimson-wing","Cryptospiza_salvadorii","Waxbills, grass finches, munias and allies","Estrildidae","Passeriformes","M","black, dark rufous, dark yellow-buff, medium buff, medium orange-buff, medium red-brown, medium tan, medium-dark red-brown, medium-dark rufous, pale buff, pale orange-buff, very pale buff, very pale cream","pale buff, pale orange-buff, medium tan, medium red-brown","pale buff, pale orange-buff, very pale buff, very pale cream",NA,NA,NA,NA,NA,NA,NA,NA,"pale buff, very pale buff, medium tan, medium orange-buff",NA,NA,NA,"very pale cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium-dark rufous, medium buff, medium orange-buff, pale buff, black, medium-dark red-brown",NA,NA,NA,"dark rufous, black, medium-dark red-brown, dark yellow-buff",NA
"Acadian Flycatcher","Empidonax_virescens","Tyrant-flycatchers","Tyrannidae","Passeriformes","F","brownish gray, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, olive-gray, pale gray","gray, brownish gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gray, medium-dark yellow-buff, dark yellow-buff",NA,NA,NA,"gray, medium-dark yellow-buff","gray, medium yellow-buff, medium-dark yellow-buff","gray, medium-dark yellow-buff, olive-gray, pale gray, medium yellow-buff, medium cream",NA,NA,"brownish gray, medium-dark yellow-buff, gray, medium yellow-buff",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gray, brownish gray",NA
"Acorn Woodpecker","Melanerpes_formicivorus","Woodpeckers","Picidae","Piciformes","F","black, brownish gray, dark brown, dark gray, gray, medium cream, medium green, medium yellow-buff, medium-dark green, olive-gray","dark brown, brownish gray, dark gray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"gray, dark gray, black, olive-gray",NA,NA,NA,"gray, medium green, medium cream, medium yellow-buff, olive-gray, medium-dark green",NA,"gray, brownish gray",NA,NA,"dark gray, gray, black",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dark gray, gray",NA
"Adelaide's Warbler","Dendroica_adelaidae","New World warblers","Parulidae","Passeriformes","M","black, brownish gray, dark gray, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale cream, pale gray, very dark yellow-buff","dark gray, gray, black","medium-dark yellow-buff",NA,"gray, dark gray, very dark yellow-buff",NA,"gray, black, dark gray",NA,NA,NA,"gray","gray, dark gray",NA,NA,NA,"medium yellow-buff, medium-dark yellow-buff, medium cream",NA,"medium-dark yellow-buff, medium yellow-buff, medium cream",NA,NA,"gray, dark gray, brownish gray","brownish gray, gray",NA,NA,NA,NA,"brownish gray, gray, dark gray","gray","gray, pale gray",NA,"gray, dark gray",NA
