Standard_Term,Alternative_Descriptions
Patch_Crown,"top of head, head, cap, hat, top, crest, forehead"
Patch_Face,"face, cheek, sides of face, mask"
Patch_Eye,"eye, eyeball, eye ring, around the eye, iris"
Patch_Beak,"beak, bill, mouth, upper mandible, lower mandible"
Patch_Nape,"back of neck, hindneck, behind head, upper back neck"
Patch_Collar,"collar, ring around neck, neck band"
Patch_Back,"back, upper back, top of bird, mantle, shoulders"
Patch_Rump,"rump, lower back, above the tail, base of tail, lower body"
Patch_Tail_Top,"top of tail, dorsal tail, uppertail"
Patch_Tail_Under,"under tail, bottom of tail, underneath tail"
Patch_Tail,"tail, tail feathers, rear feathers"
Patch_TailTip,"end of tail, tip of tail, tail edge, tail band"
Patch_Throat,"throat, chin, neck front, under beak, jugulum"
Patch_Breast,"breast, chest, upper stomach, front of bird, thorax"
Patch_BreastBand,"breast band, necklace, chest stripe, band across chest"
Patch_Belly,"belly, stomach, abdomen, underneath, lower chest, bottom"
Patch_Flank,"flank, side, sides of body, ribs"
Patch_Crissum,"vent, undertail coverts, crissum, butt, right under the tail"
Patch_WingBar,"wing bar, wing stripe, line on wing, wing band"
Patch_Wingtip,"wing tip, end of wing, primary tips"
Patch_Wing_Top,"shoulder, epaulet, top of wing, upper wing"
Patch_Wing_Under,"armpit, underwing, wing lining, below wing, bottom of wing"
Patch_Wing,"wing, wings, side feathers, flight feathers"
Patch_Leg,"leg, feet, tarsus, toes, thighs"
Pro_Crown,"top of head, cap, head, crown, crest"
Pro_Forehead,"forehead, front of head, just above the beak"
Pro_Nape,"back of neck, hindneck, nape"
Pro_Supercilium,"eyebrow, line over eye, stripe above eye, eye stripe"
Pro_Lores,"between eye and beak, in front of eye, space before eye"
Pro_Auriculars,"ear patch, ear coverts, cheek patch, behind the eye, cheeks"
Pro_Malar,"mustache, whisker, side of chin, jaw line, stripe under cheek, malar"
Pro_Eye,"eye, eye ring, iris"
Pro_Beak,"beak, bill, mouth, gape"
Pro_Mantle,"mantle, upper back, between the shoulders, center of back"
Pro_Back,"back, lower back, rear back"
Pro_Scapulars,"shoulders, scapulars, base of wing on the back"
Pro_Rump,"rump, lower back, above the tail, base of tail"
Pro_Collar,"collar, neck band, ring around neck"
Pro_Chin_Throat,"throat, chin, under beak, front of neck"
Pro_Breast,"breast, chest, upper front"
Pro_Belly,"belly, stomach, abdomen, lower underneath"
Pro_Flanks,"flanks, side, sides of body, ribs"
Pro_Crissum,"vent, undertail coverts, crissum, under the tail base"
Pro_Wing_Coverts,"wing coverts, upper wing, shoulder area, top half of wing"
Pro_Primaries,"primary feathers, long wing feathers, wingtips, outer wing, flight feathers"
Pro_Secondaries,"secondary feathers, inner wing, trailing edge of wing"
Pro_Tertials,"tertials, innermost wing feathers, resting over the back"
Pro_Alula,"alula, bastard wing, thumb of wing, bend of wing, wrist"
Pro_WingBar,"wing bar, wing stripe, line across wing"
Pro_Wing_Other,"wing, generic wing parts, wing patch"
Pro_Tail_Dorsal,"top of tail, uppertail, dorsal tail"
Pro_Tail_Ventral,"under tail, bottom of tail, ventral tail"
Pro_Tail_Outer,"outer tail feathers, edges of tail, sides of tail"
Pro_Tail_Other,"tail, tail spot, tail tip, other tail parts"
Pro_Legs,"leg, feet, tarsus, thighs"
