Standard_Term,Alternative_Descriptions
black,"black, pitch black, jet black, dark, inky, ebony, raven"
dark gray,"dark gray, charcoal, slate, dark grey, lead, gunmetal"
gray,"gray, grey, silver, ash, ashy, slate"
pale gray,"pale gray, light gray, whitish-gray, silvery, faint gray"
dark blue,"dark blue, navy, midnight blue, indigo, deep blue"
blue,"blue, azure, sapphire, true blue"
light blue,"light blue, pale blue, sky blue, cyan, powder blue, bright blue"
olive-gray,"olive-gray, greenish-gray, dirty gray, drab gray"
brownish gray,"brownish gray, taupe, greige, dirty brown, dusty"
dark brown,"dark brown, chocolate, coffee, espresso, deep brown"
brown,"brown, dirt colored, mud colored, chocolate"
tan,"tan, light brown, beige, khaki, sand colored, sandy"
buff,"buff, yellowish-brown, tan, sandy, warm brown, tawny, chamois"
rufous,"rufous, rusty, rust, copper, reddish-brown, red-brown, orange-brown, mahogany, foxy, brick"
orange-buff,"orange-buff, peach, warm orange-brown, apricot"
pale brown,"pale brown, light tan, washed out brown, faint brown"
pale orange,"pale orange, light orange, peach, pastel orange"
cream,"cream, creamy, off-white, yellowish-white, ivory"
yellow-buff,"yellow-buff, yellowish-tan, sandy yellow, warm yellow"
olive,"olive, olive green, dull green, brownish-green, mossy, drab green, army green"
green,"green, emerald, bright green, grassy, leaf green"
dark purple,"dark purple, deep violet, plum, eggplant"
purple,"purple, violet, lilac"
maroon,"maroon, burgundy, dark red, wine colored, deep red"
red-brown,"red-brown, reddish-brown, chestnut, rust colored"
pinkish buff,"pinkish buff, pale pinkish brown, flesh colored, salmon"
red,"red, bright red, crimson, scarlet, cherry, ruby, blood red"
orange,"orange, bright orange, pumpkin, tangerine"
yellow,"yellow, bright yellow, lemon, golden, canary"
white,"white, light colored, pale, snow, snowy, bright white, whitish, milky, blank"
pink,"pink, rosy, rose, salmon, light red"
