









Frequency of observations in the selected location(s).:
Number of taxa: 	428

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	1585.0	1229.0	1096.0	1482.0	1050.0	1496.0	2348.0	1208.0	1370.0	1615.0	1515.0	2279.0	1497.0	1534.0	1694.0	2461.0	2402.0	2476.0	1752.0	1890.0	1000.0	904.0	1007.0	1083.0	810.0	709.0	650.0	1056.0	776.0	790.0	772.0	1274.0	979.0	930.0	960.0	1127.0	1047.0	940.0	937.0	1345.0	970.0	875.0	813.0	1148.0	739.0	723.0	915.0	1743.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0200573	0.0085106	0.0042689	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.3078864	0.2790887	0.2992701	0.2112011	0.1666667	0.1463904	0.1111584	0.2193709	0.2562044	0.2117647	0.1980198	0.1417288	0.0968604	0.0743155	0.0466352	0.0390085	0.0353872	0.0286753	0.0308219	0.0238095	0.032	0.0298673	0.0168818	0.023084	0.0209877	0.0239774	0.0292308	0.0198864	0.0399485	0.0367089	0.0336788	0.0243328	0.0214505	0.0107527	0.003125	0.0053239	0.008596	0.0106383	0.0074707	0.0275093	0.0237113	0.056	0.0848708	0.1358885	0.1772666	0.1728907	0.2295082	0.2730924	
Ross's Goose	0.015142	0.007323	0.0082117	0.0026991	0.0028571	6.684E-4	8.518E-4	0.0049669	0.0131387	0.0105263	0.0112211	0.0021939	0.00334	0.0065189	0.0029516	0.002438	0.0016653	4.039E-4	0.0017123	0.0015873	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0095819	0.0108254	0.0013831	0.0098361	0.0172117	
Snow x Ross's Goose (hybrid)	0.0015	0.0	0.0018248	6.748E-4	0.0	0.0	0.0	8.278E-4	0.0	0.0	0.0039604	8.776E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011474	
Snow/Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.192E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Graylag Goose	0.0025237	0.0032547	0.0036496	0.0013495	9.524E-4	0.0033422	8.518E-4	0.0016556	0.0043796	0.0018576	0.0033003	0.0017552	0.004676	0.0032595	5.903E-4	4.063E-4	0.001249	8.078E-4	5.708E-4	0.0015873	0.002	0.0	0.0	0.0036934	0.0012346	0.0014104	0.0015385	0.0	0.0	0.0012658	0.0	0.0	0.0020429	0.0	0.0020833	0.0017746	0.0028653	0.0	0.0	0.001487	0.0041237	0.0045714	0.00369	0.0017422	0.0013532	0.0027663	0.0	0.0011474	
Swan Goose	6.309E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.192E-4	0.0	0.0	6.68E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Graylag x Swan Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.708E-4	0.0	0.0	0.0011062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0043716	0.0	
